epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.617,1.51094,3.03098,1.20437,0.00507,0.90756,0.67112,0.33281,1.21388,3.32373,1.07149,0.00034,0.00034,0.00034
2,418.797,1.35229,2.0261,1.2594,0.00498,0.89076,0.1019,0.05435,1.22705,3.49582,1.1864,0.0006307,0.0006307,0.0006307
3,611.288,1.38038,1.85381,1.24974,0.06996,0.19328,0.08668,0.03123,1.27847,3.28458,1.25298,0.00085012,0.00085012,0.00085012
4,807.251,1.33428,1.72244,1.27504,0.20061,0.17647,0.1163,0.06611,1.2927,3.07007,1.25078,0.00099826,0.00099826,0.00099826
5,998.06,1.30061,1.53742,1.22712,0.77669,0.46767,0.60528,0.36938,1.28509,2.47735,1.24038,0.00107512,0.00107512,0.00107512
6,1194.42,1.28446,1.4004,1.22292,0.79466,0.57983,0.74334,0.44839,1.35603,2.02708,1.28339,0.00101,0.00101,0.00101
7,1390.29,1.28378,1.37996,1.2219,0.99065,0.89076,0.94182,0.58624,1.23293,1.49885,1.2193,0.000812,0.000812,0.000812
8,1586.95,1.26673,1.28049,1.19374,0.97164,0.92437,0.95622,0.606,1.22014,1.18696,1.19752,0.000614,0.000614,0.000614
9,1780.44,1.19719,1.21593,1.1835,0.94806,0.89076,0.95729,0.60669,1.21776,1.03333,1.20093,0.000416,0.000416,0.000416
10,1970.56,1.14673,1.14657,1.13658,0.99086,0.91129,0.9669,0.62305,1.17857,0.93783,1.18053,0.000218,0.000218,0.000218
