epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.943,1.44625,3.23375,1.14185,0.00535,0.95798,0.70274,0.34821,1.15147,3.17439,1.00061,0.00034,0.00034,0.00034
2,294.794,1.29746,2.03664,1.11151,0.0054,0.96639,0.44038,0.18832,1.1367,3.22997,1.04438,0.0006307,0.0006307,0.0006307
3,435.049,1.35065,1.82536,1.15889,0.00535,0.95798,0.1048,0.03475,1.26943,3.11975,1.15682,0.00085012,0.00085012,0.00085012
4,577.888,1.30033,1.70929,1.16322,0.81795,0.70588,0.78425,0.49422,1.20529,2.70965,1.12521,0.00099826,0.00099826,0.00099826
5,716.332,1.29434,1.56294,1.12955,0.972,0.87521,0.94776,0.57175,1.27302,2.0258,1.15733,0.00107512,0.00107512,0.00107512
6,856.037,1.21187,1.45878,1.09971,0.98137,0.88522,0.95948,0.59508,1.29159,1.416,1.16126,0.00101,0.00101,0.00101
7,995.405,1.20271,1.37905,1.12029,0.98975,0.92437,0.95142,0.60912,1.22485,1.29752,1.12135,0.000812,0.000812,0.000812
8,1135.81,1.22572,1.31303,1.12318,0.99774,0.92437,0.97763,0.61831,1.20223,1.10085,1.14756,0.000614,0.000614,0.000614
9,1276.7,1.16311,1.25495,1.0966,0.97695,0.92437,0.97607,0.6084,1.2378,1.04277,1.1487,0.000416,0.000416,0.000416
10,1416.18,1.12642,1.15041,1.06448,0.98308,0.93277,0.97625,0.64801,1.14685,0.93855,1.10686,0.000218,0.000218,0.000218
